iter	Passed	Remaining
238	3488	11107
239	3500	11083
240	3511	11059
241	3523	11036
242	3538	11023
243	3551	11003
244	3562	10978
245	3574	10957
246	3586	10934
247	3598	10911
248	3610	10888
249	3621	10865
250	3633	10841
251	3644	10818
252	3656	10796
253	3668	10773
254	3679	10750
255	3690	10726
256	3703	10706
257	3723	10708
258	3735	10687
259	3747	10664
260	3758	10641
261	3769	10618
262	3781	10596
263	3793	10574
264	3804	10552
265	3816	10531
266	3828	10509
267	3839	10488
268	3851	10466
269	3863	10444
270	3874	10423
271	3886	10401
272	3901	10389
273	3915	10374
274	3929	10360
275	3944	10346
276	3957	10328
277	3969	10307
278	3980	10287
279	3992	10267
280	4004	10246
281	4016	10226
282	4028	10205
283	4040	10185
284	4052	10165
285	4063	10145
286	4088	10157
287	4100	10136
288	4114	10122
289	4125	10101
290	4137	10081
291	4149	10062
292	4161	10042
293	4173	10022
294	4185	10001
295	4197	9982
296	4208	9961
297	4219	9940
298	4231	9920
299	4243	9901
300	4258	9889
301	4271	9873
302	4283	9854
303	4295	9835
304	4307	9815
305	4319	9796
306	4331	9777
307	4343	9758
308	4354	9737
309	4366	9719
310	4378	9700
311	4390	9682
312	4402	9663
313	4414	9644
314	4426	9624
315	4452	9636
316	4463	9617
317	4476	9599
318	4487	9580
319	4499	9560
320	4510	9540
321	4522	9521
322	4534	9503
323	4545	9483
324	4557	9465
325	4569	9446
326	4581	9428
327	4592	9409
328	4604	9390
329	4619	9378
330	4633	9365
331	4645	9347
332	4657	9329
333	4671	9315
334	4683	9296
335	4694	9277
336	4706	9258
337	4717	9240
338	4729	9222
339	4741	9204
340	4753	9185
341	4764	9167
342	4776	9148
343	4788	9131
344	4803	9119
345	4814	9101
346	4827	9084
347	4839	9067
348	4851	9048
349	4862	9030
350	4874	9012
351	4889	9001
352	4901	8983
353	4912	8965
354	4924	8947
355	4936	8929
356	4947	8911
357	4959	8893
358	4970	8875
359	4988	8869
360	5000	8851
361	5013	8835
362	5024	8817
363	5036	8800
364	5048	8782
365	5059	8764
366	5071	8747
367	5083	8730
368	5095	8713
369	5106	8695
370	5118	8678
371	5130	8660
372	5142	8643
373	5153	8626
374	5165	8609
375	5185	8605
376	5196	8588
377	5208	8571
378	5220	8553
379	5231	8536
380	5243	8519
381	5255	8502
382	5267	8485
383	5278	8468
384	5290	8451
385	5302	8434
386	5313	8417
387	5325	8400
388	5337	8383
389	5353	8372
390	5365	8356
391	5377	8339
392	5389	8323
393	5400	8306
394	5412	8290
395	5424	8273
396	5435	8256
397	5447	8239
398	5459	8222
399	5471	8206
400	5483	8190
401	5494	8173
402	5506	8156
403	5517	8139
404	5538	8136
